cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,mean_pred,std_pred,locus
0,373,1.49,False,1.03,6.246293,0.100948,IRF7
1,141,0.56,False,1.04,6.313393,0.095908,IRF7
2,307,1.23,False,1.07,5.906257,0.128665,IRF7
3,463,1.85,False,1.09,6.013319,0.13639,IRF7
4,50,0.2,False,1.05,5.966723,0.122416,IRF7
5,82,0.33,False,1.1,6.071624,0.115096,IRF7
6,389,1.56,False,1.04,6.335321,0.090614,IRF7
7,100,0.4,False,1.13,5.935626,0.147369,IRF7
8,645,2.58,False,1.07,6.080733,0.118273,IRF7
9,54,0.22,False,1.06,6.309569,0.095857,IRF7
10,417,1.67,False,1.05,6.351949,0.09889,IRF7
11,235,0.94,False,1.05,6.082105,0.118249,IRF7
12,52,0.21,False,1.1,6.316672,0.12371,IRF7
13,77,0.31,False,1.11,5.549633,0.160333,IRF7
14,68,0.27,False,1.1,5.74647,0.132024,IRF7
15,347,1.39,False,1.05,6.171478,0.114561,IRF7
16,347,1.39,False,1.07,6.180682,0.11643,IRF7
17,447,1.79,False,1.07,6.170791,0.116084,IRF7
18,611,2.44,False,1.01,6.248018,0.108518,IRF7
19,671,2.68,False,1.06,6.047183,0.114914,IRF7
20,646,2.58,False,1.06,6.187811,0.113124,IRF7
21,3,0.01,False,1.1,6.18955,0.227317,IRF7
22,268,1.07,False,1.04,6.367998,0.093334,IRF7
23,91,0.36,False,1.04,6.32734,0.097518,IRF7
24,85,0.34,False,1.11,5.791044,0.175253,IRF7
25,3,0.01,False,1.25,6.057621,0.275892,IRF7
26,132,0.53,False,1.07,6.368508,0.118672,IRF7
27,919,3.68,False,0.95,6.271109,0.082412,IRF7
28,622,2.49,False,1.03,6.204706,0.099628,IRF7
29,80,0.32,False,1.15,5.699309,0.135147,IRF7
30,202,0.81,False,1.08,6.211369,0.119695,IRF7
31,419,1.68,False,1.08,6.163742,0.110727,IRF7
32,62,0.25,False,1.09,5.926592,0.1113,IRF7
33,286,1.14,False,1.07,6.043697,0.114535,IRF7
34,530,2.12,False,1.04,6.187065,0.103124,IRF7
35,9,0.04,False,1.14,6.431633,0.188766,IRF7
36,335,1.34,False,1.05,6.188857,0.125886,IRF7
37,68,0.27,False,1.07,6.401277,0.123786,IRF7
38,85,0.34,False,1.14,6.447462,0.126159,IRF7
39,430,1.72,False,1.07,6.132518,0.118707,IRF7
40,347,1.39,False,1.06,6.05438,0.117004,IRF7
41,830,3.32,False,0.97,6.285876,0.086454,IRF7
42,102,0.41,False,1.16,5.874169,0.175022,IRF7
43,395,1.58,False,1.06,6.148016,0.115845,IRF7
44,852,3.41,False,0.97,6.273402,0.080863,IRF7
45,909,3.64,False,0.97,6.280616,0.085251,IRF7
46,61,0.24,False,1.04,6.392426,0.130949,IRF7
47,848,3.39,True,0.99,6.27775,0.085717,IRF7
48,70,0.28,False,1.06,6.397737,0.123615,IRF7
49,69,0.28,False,1.1,6.327312,0.123387,IRF7
50,70,0.28,False,1.08,6.442812,0.119329,IRF7
51,64,0.26,False,1.14,6.444447,0.1348,IRF7
52,341,1.36,False,1.06,6.187985,0.124736,IRF7
53,410,1.64,False,1.04,6.198429,0.095695,IRF7
54,54,0.22,False,1.04,6.305456,0.117803,IRF7
55,416,1.66,False,1.04,6.224297,0.099721,IRF7
56,67,0.27,False,1.04,6.066562,0.112011,IRF7
57,368,1.47,False,1.07,6.106885,0.102244,IRF7
58,79,0.32,False,1.05,6.337444,0.108861,IRF7
59,238,0.95,False,1.02,6.275136,0.099077,IRF7
60,408,1.63,False,1.05,6.207139,0.105523,IRF7
61,162,0.65,False,1.03,6.365645,0.108577,IRF7
62,245,0.98,False,1.07,6.158925,0.101923,IRF7
63,547,2.19,False,1.04,6.211113,0.102969,IRF7
64,59,0.24,False,1.15,5.775829,0.139759,IRF7
65,345,1.38,False,1.01,6.241677,0.085341,IRF7
66,107,0.43,False,1.09,6.380978,0.128235,IRF7
67,97,0.39,False,1.1,5.895311,0.154294,IRF7
68,170,0.68,False,1.07,6.339934,0.109847,IRF7
69,112,0.45,False,1.17,5.79393,0.195101,IRF7
70,267,1.07,False,1.07,6.185889,0.113375,IRF7
71,980,3.92,False,0.96,6.281943,0.081635,IRF7
72,182,0.73,False,1.08,5.951639,0.140665,IRF7
73,57,0.23,False,1.11,6.376907,0.113547,IRF7
74,95,0.38,False,1.09,5.806338,0.139697,IRF7
75,38,0.15,False,1.1,5.996393,0.130863,IRF7
76,89,0.36,False,1.11,5.692227,0.156137,IRF7
77,65,0.26,False,1.08,6.397485,0.137077,IRF7
78,71,0.28,False,1.12,6.338742,0.13108,IRF7
79,83,0.33,False,1.1,6.399599,0.135391,IRF7
80,90,0.36,False,1.09,5.947976,0.146999,IRF7
81,72,0.29,False,1.12,5.990884,0.134958,IRF7
82,63,0.25,False,1.05,6.391603,0.104929,IRF7
83,65,0.26,False,1.07,6.027924,0.124346,IRF7
84,79,0.32,False,1.08,6.332834,0.122367,IRF7
85,70,0.28,False,1.11,6.344909,0.135577,IRF7
86,68,0.27,False,1.08,6.369996,0.127445,IRF7
87,47,0.19,False,1.07,6.375906,0.096462,IRF7
88,72,0.29,False,1.06,6.492064,0.135809,IRF7
89,443,1.77,False,1.05,6.162817,0.101498,IRF7
90,66,0.26,False,1.07,6.024643,0.133831,IRF7
91,58,0.23,False,1.1,6.43223,0.100586,IRF7
92,50,0.2,False,1.07,5.692106,0.191338,IRF7
93,115,0.46,False,1.14,5.875637,0.161903,IRF7
94,375,1.5,False,1.05,6.223809,0.099025,IRF7
95,406,1.62,False,1.06,6.028032,0.142703,IRF7
96,328,1.31,False,1.03,6.207656,0.097615,IRF7
97,64,0.26,False,1.07,6.3095,0.131301,IRF7
